Modell,Accuracy,Balanced Accuracy,Macro-F1
Logistische Regression,0.6547788873038516,0.6495266499341532,0.5613414687307284
Random Forest,0.7146932952924394,0.554473199338859,0.5456925893399396
Mehrheitsklasse,0.6119828815977175,0.25,0.18982300884955752
