year,forecast_mt,lower_80_mt,upper_80_mt,lower_95_mt,upper_95_mt
2025,558.1286779411764,527.6559758635367,588.928723917253,520.8479001003379,603.8223631194061
2026,543.938185882353,484.5550085966387,587.2312970101726,461.25489691806723,593.039725807165
2027,529.7476938235294,465.2711660286576,571.6689092972136,433.0815368748114,589.6691037445821
2028,515.5572017647058,444.516009918552,564.8618975391419,414.31992495701354,601.016990445157
2029,501.36670970588233,397.58640349159657,556.3233629239274,391.31372154516805,569.3211364314463
2030,487.1762176470588,363.3811972661065,543.021848308713,358.13906755182074,571.9851674177356
