model,MAE_Mt,RMSE_Mt,Bias_Mt,Prognosen
Drift,45.613967974724595,56.606872481900865,12.142925466431116,60.0
Linear 1990+,44.56790685327599,57.47264215421228,19.314541644646102,60.0
Huber letzte 20 J.,44.78806932385499,58.822453065811295,23.382385016058166,60.0
Linear letzte 20 J.,45.386179315789484,59.2322829300289,22.184625163157897,60.0
Naiv,57.23596216666667,77.5909197023429,50.446641500000005,60.0
